"Adult Health and Disease: Prevalence (/100) of High Blood Pressure (HBP) on April 1st, 2022ª for Neighbourhoods in the City of Toronto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table creation date:,"Data generated by OCHPP on January 17, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer to the notes tab(s) for information about these data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ©Ontario Community Health Profiles Partnership, 2024. All rights reserved. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neighb ID,Neighbourhood Name,"# of people with High Blood Pressure (HBP) 2021/22 ±, All Ages 20+",,,"Total Population 2023 (RPDB) ª, All Ages 20+",,," Age-Standardized † rate (/100) of High Blood Pressure (HBP) 2021/22, All Ages 20+",,,,,,,,,,,"Prevalence (/100) of High Blood Pressure (HBP) 2021/22, All Ages 20+",,,,,,,,,,,"# of people with High Blood Pressure (HBP) 2021/22 ±, Age 20-44",,,"Total Population 2023 (RPDB) ª, Age 20-44",,,"Prevalence (/100) of High Blood Pressure (HBP) 2021/22, Age 20-44",,,,,,,,,,,"# of people with High Blood Pressure (HBP) 2021/22 ±, Age 45-64",,,"Total Population 2023 (RPDB) ª, Age 45-64",,,"Prevalence (/100) of High Blood Pressure (HBP) 2021/22, Age 45-64",,,,,,,,,,,"# of people with High Blood Pressure (HBP) 2021/22 ±, Age 65+",,,"Total Population 2023 (RPDB) ª, Age 65+",,,"Prevalence (/100) of High Blood Pressure (HBP) 2021/22, Age 65+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,  Male,Female,Total,  Male,Female,Total,  Male,Female,Total,"Rate Ratio**, Total","H/ L/ NS, Total","(95% CI) LL, Male","(95% CI) UL,  Male","(95% CI) LL, Female","(95% CI) UL, Female","(95% CI) LL, Total","(95% CI) UL, Total",  Male,Female,Total,"Rate Ratio**, Total","H/ L/ NS, Total","(95% CI) LL, Male","(95% CI) UL,  Male","(95% CI) LL, Female","(95% CI) UL, Female","(95% CI) LL, Total","(95% CI) UL, Total",  Male,Female,Total,  Male,Female,Total,  Male,Female,Total,"Rate Ratio**, Total","H/ L/ NS, Total","(95% CI) LL, Male","(95% CI) UL,  Male","(95% CI) LL, Female","(95% CI) UL, Female","(95% CI) LL, Total","(95% CI) UL, Total",  Male,Female,Total,  Male,Female,Total,  Male,Female,Total,"Rate Ratio**, Total","H/ L/ NS, Total","(95% CI) LL, Male","(95% CI) UL,  Male","(95% CI) LL, Female","(95% CI) UL, Female","(95% CI) LL, Total","(95% CI) UL, Total",  Male,Female,Total,  Male,Female,Total,  Male,Female,Total,"Rate Ratio**, Total","H/ L/ NS, Total","(95% CI) LL, Male","(95% CI) UL,  Male","(95% CI) LL, Female","(95% CI) UL, Female","(95% CI) LL, Total","(95% CI) UL, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,West Humber-Clairville,4141,4295,8436,15507,15578,31085,27.8,28.6,28.2,1.25,H,27.1,28.4,28.0,29.2,27.8,28.6,26.7,27.6,27.1,1.18,H,26.0,27.4,26.9,28.3,26.6,27.6,288,224,512,7914,7571,15485,3.6,3.0,3.3,1.14,H,3.2,4.1,2.6,3.3,3.0,3.6,1678,1562,3240,4601,4590,9191,36.5,34.0,35.3,1.37,H,35.1,37.9,32.7,35.4,34.3,36.2,2175,2509,4684,2992,3417,6409,72.7,73.4,73.1,1.14,H,71.1,74.3,71.9,74.9,72.0,74.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mount Olive-Silverstone-Jamestown,3407,3638,7045,12720,13444,26164,28.0,29.5,28.7,1.28,H,27.3,28.7,28.8,30.1,28.3,29.2,26.8,27.1,26.9,1.17,H,26.0,27.6,26.3,27.8,26.4,27.5,248,233,481,6381,6534,12915,3.9,3.6,3.7,1.28,H,3.4,4.4,3.1,4.0,3.4,4.1,1505,1562,3067,4027,4418,8445,37.4,35.4,36.3,1.41,H,35.9,38.9,33.9,36.8,35.3,37.3,1654,1843,3497,2312,2492,4804,71.5,74.0,72.8,1.14,H,69.7,73.4,72.2,75.7,71.5,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Thistletown-Beaumond Heights,1296,1355,2651,4473,4622,9095,27.3,28.5,27.9,1.24,H,26.2,28.4,27.4,29.6,27.1,28.7,29.0,29.3,29.1,1.27,H,27.6,30.3,28.0,30.6,28.2,30.1,73,61,134,2027,2089,4116,3.6,2.9,3.3,1.14,NS,2.8,4.4,2.2,3.6,2.7,3.8,533,485,1018,1475,1419,2894,36.1,34.2,35.2,1.36,H,33.7,38.6,31.7,36.6,33.4,36.9,690,809,1499,971,1114,2085,71.1,72.6,71.9,1.12,H,68.2,73.9,70.0,75.2,70.0,73.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Rexdale-Kipling,1238,1415,2653,4577,4713,9290,24.7,26.7,25.7,1.14,H,23.7,25.8,25.7,27.7,25.0,26.5,27.0,30.0,28.6,1.24,H,25.8,28.3,28.7,31.3,27.6,29.5,65,63,128,2006,1890,3896,3.2,3.3,3.3,1.14,NS,2.5,4.0,2.5,4.1,2.7,3.8,477,476,953,1563,1569,3132,30.5,30.3,30.4,1.18,H,28.2,32.8,28.1,32.6,28.8,32.0,696,876,1572,1008,1254,2262,69.0,69.9,69.5,1.08,H,66.2,71.9,67.3,72.4,67.6,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Elms-Old Rexdale,992,1118,2110,3892,4005,7897,25.3,28.1,26.7,1.19,H,24.1,26.5,26.9,29.3,25.9,27.6,25.5,27.9,26.7,1.16,H,24.1,26.9,26.5,29.3,25.7,27.7,74,63,137,1821,1789,3610,4.1,3.5,3.8,1.31,H,3.2,5.0,2.7,4.4,3.2,4.4,435,471,906,1336,1374,2710,32.6,34.3,33.4,1.29,H,30.0,35.1,31.8,36.8,31.7,35.2,483,584,1067,735,842,1577,65.7,69.4,67.7,1.06,H,62.3,69.1,66.2,72.5,65.4,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Kingsview Village-The Westway,2380,2669,5049,9671,10127,19798,24.3,25.7,25.0,1.11,H,23.5,25.0,25.0,26.4,24.5,25.5,24.6,26.4,25.5,1.11,H,23.8,25.5,25.5,27.2,24.9,26.1,175,175,350,4670,4555,9225,3.7,3.8,3.8,1.31,H,3.2,4.3,3.3,4.4,3.4,4.2,918,931,1849,3063,3211,6274,30.0,29.0,29.5,1.14,H,28.3,31.6,27.4,30.6,28.3,30.6,1287,1563,2850,1938,2361,4299,66.4,66.2,66.3,1.03,H,64.3,68.5,64.3,68.1,64.9,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Willowridge-Martingrove-Richview,2685,3101,5786,8997,10046,19043,25.4,25.1,25.2,1.12,H,24.7,26.2,24.4,25.8,24.7,25.7,29.8,30.9,30.4,1.32,H,28.9,30.8,30.0,31.8,29.7,31.0,143,127,270,3689,3764,7453,3.9,3.4,3.6,1.24,H,3.3,4.5,2.8,4.0,3.2,4.0,947,844,1791,3009,3197,6206,31.5,26.4,28.9,1.12,H,29.8,33.1,24.9,27.9,27.7,30.0,1595,2130,3725,2299,3085,5384,69.4,69.0,69.2,1.08,H,67.5,71.3,67.4,70.7,68.0,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Humber Heights-Westmount,1305,1759,3064,4127,5045,9172,25.2,25.3,25.2,1.12,H,24.1,26.3,24.3,26.3,24.5,25.9,31.6,34.9,33.4,1.45,H,30.2,33.0,33.6,36.2,32.4,34.4,61,42,103,1537,1630,3167,4.0,2.6,3.3,1.14,NS,3.0,4.9,1.8,3.3,2.6,3.9,439,428,867,1425,1597,3022,30.8,26.8,28.7,1.11,H,28.4,33.2,24.6,29.0,27.1,30.3,805,1289,2094,1165,1818,2983,69.1,70.9,70.2,1.10,H,66.4,71.8,68.8,73.0,68.6,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Edenbridge-Humber Valley,1795,2055,3850,6289,7532,13821,22.6,20.9,21.6,0.96,L,21.8,23.5,20.1,21.6,21.1,22.2,28.5,27.3,27.9,1.21,H,27.4,29.7,26.3,28.3,27.1,28.6,86,69,155,2356,2585,4941,3.7,2.7,3.1,1.07,NS,2.9,4.4,2.0,3.3,2.7,3.6,580,514,1094,2190,2497,4687,26.5,20.6,23.3,0.90,L,24.6,28.3,19.0,22.2,22.1,24.6,1129,1472,2601,1743,2450,4193,64.8,60.1,62.0,0.97,L,62.5,67.0,58.1,62.0,60.6,63.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Princess-Rosethorn,1222,1149,2371,4682,5002,9684,21.5,19.2,20.3,0.90,L,20.5,22.5,18.3,20.1,19.6,20.9,26.1,23.0,24.5,1.07,H,24.8,27.4,21.8,24.1,23.6,25.3,44,31,75,1792,1833,3625,2.5,1.7,2.1,0.72,L,1.7,3.2,1.1,2.3,1.6,2.5,460,347,807,1667,1798,3465,27.6,19.3,23.3,0.90,L,25.4,29.7,17.5,21.1,21.9,24.7,718,771,1489,1223,1371,2594,58.7,56.2,57.4,0.90,L,55.9,61.5,53.6,58.9,55.5,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
