, 2021 Census of Population - Socio-Demographic Variables (Immigrant Status and Period of Immigration for Population in Private Households) - City of Toronto Neighbourhoods,,,,,,,,,,,,,,
"  The data sets used to calculate population denominators were derived from Statistics Canada's 2021 Census of Population (Census), Catalogue #98-401-X2021006-3 Ontario, released October 26, 2022. The Census catalogue contains statistics on topics of immigration by Dissemination Area (DA) adn by Census Subdivision (CSD).",,,,,,,,,,,,,,,
"  The sum of component statistics (e.g. ""Received Immigration Status Between 2011 - 2015"" + ""Received Immigration Status Between 2016 - 2021"") within each tabulated category may not equal to the component total within the row or to the column total at the bottom of the table (e.g. City of Toronto) due to data suppression (see note below) or rounding procedures used by Statistics Canada at the Dissemination Area level and the subsequent aggregation of many DAs into larger geographic areas. Where a combined count is required, we recommend that users apply the value(s) from the column(s) with the combined total(s) instead of summing smaller data groupings such as variable subcategories. Note: Some sub-categories tabulated by Statistics Canada may be excluded from this table. ",,,,,,,,,,,,,,,
"  City of Toronto counts are from Census Subdivision totals reported in the Census catalogue. Neighbourhood geographies may include one or more Dissemination Area(s) where Statistics Canada has suppressed DA-level data for reasons of confidentiality, data quality or incomplete enumeration.",,,,,,,,,,,,,,,
"  Refer to Statistics Canada's website or meta-data file for additional definitions and explanations. Names of Census variables in column headings or sheet titles are taken from the Statistics Canada Census 2021 catalogue. For information about OCHPP definitions, data quality & limitations, and selection and preparation of variables, visit our ""About the Data"" page.",,,,,,,,,,,,,,,
"  ^ Total Population refers to the Total - Immigrant status and period of immigration for the population in private households, as defined by Statistics Canada for this group of variables. ",,,,,,,,,,,,,,,
"  * Indicates value is between 6 and 29. Any calculations using this value as a denominator, or any combination of variables that sum to a value between 6 and 29, should be reported with caution. If used in the numerator, values between 6 and 19, or any combination of variables that sum to a value between 6 and 19, should be reported with caution.",,,,,,,,,,,,,,,
"  ©Ontario Community Health Profiles Partnership, 2023. All rights reserved. Table posted: February 15, 2023",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Neighb ID,Neighbourhood Name,Total Population^,"Population who are 
Immigrants","Population who are 
Immigrants (%)",Population who Received Immigration Status Between 2011 - 2021,Population who Received Immigration Status Between 2011 - 2021 (%),Population who Received Immigration Status Between 2011 - 2015,Population who Received Immigration Status Between 2011 - 2015 (%),Population who Received Immigration Status Between 2016 - 2021,Population who Received Immigration Status Between 2016 - 2021 (%),Population who are Non-Permanent Residents,"Population who are Non-Permanent Residents
Report with caution (*)",Population who are Non-Permanent Residents (%),Population who are Non-Immigrants,Population who are Non-Immigrants (%)
1,West Humber-Clairville,33280,18800,56.5,4410,13.3,2050,6.2,2310,6.9,2630,,7.9,11800,35.5
2,Mount Olive-Silverstone-Jamestown,31335,19780,63.1,6760,21.6,3280,10.5,3455,11.0,1895,,6.0,9615,30.7
3,Thistletown-Beaumond Heights,9845,5210,52.9,1040,10.6,390,4.0,655,6.7,555,,5.6,4035,41.0
4,Rexdale-Kipling,10370,4810,46.4,1110,10.7,545,5.3,525,5.1,430,,4.1,5070,48.9
5,Elms-Old Rexdale,9360,4595,49.1,995,10.6,510,5.4,480,5.1,215,,2.3,4510,48.2
6,Kingsview Village-The Westway,22010,11145,50.6,3045,13.8,1290,5.9,1710,7.8,665,,3.0,10145,46.1
7,Willowridge-Martingrove-Richview,22450,10270,45.7,2095,9.3,850,3.8,1120,5.0,595,,2.7,11495,51.2
8,Humber Heights-Westmount,10010,4705,47.0,665,6.6,395,3.9,240,2.4,120,,1.2,5085,50.8
9,Edenbridge-Humber Valley,15190,5900,38.8,1060,7.0,440,2.9,550,3.6,240,,1.6,9045,59.5
10,Princess-Rosethorn,11170,3390,30.3,510,4.6,225,2.0,225,2.0,110,,1.0,7615,68.2
11,Eringate-Centennial-West Deane,18460,7875,42.7,965,5.2,435,2.4,455,2.5,225,,1.2,10285,55.7
12,Markland Wood,10375,3915,37.7,570,5.5,170,1.6,365,3.5,80,,0.8,6375,61.4
13,Etobicoke West Mall,11865,5970,50.3,1575,13.3,575,4.8,965,8.1,535,,4.5,5350,45.1
15,Kingsway South,8855,1970,22.2,285,3.2,135,1.5,105,1.2,20,*,0.2,6825,77.1
16,Stonegate-Queensway,25635,8925,34.8,1960,7.6,820,3.2,1035,4.0,555,,2.2,16095,62.8
18,New Toronto,11360,4005,35.3,970,8.5,435,3.8,540,4.8,575,,5.1,6740,59.3
19,Long Branch,11355,3765,33.2,965,8.5,350,3.1,605,5.3,555,,4.9,7025,61.9
20,Alderwood,12580,4285,34.1,580,4.6,210,1.7,310,2.5,145,,1.2,8100,64.4
21,Humber Summit,12185,6775,55.6,1465,12.0,635,5.2,805,6.6,545,,4.5,4845,39.8
22,Humbermede,16960,9990,58.9,3195,18.8,1490,8.8,1650,9.7,860,,5.1,6085,35.9
23,Pelmo Park-Humberlea,11295,5240,46.4,1035,9.2,480,4.2,500,4.4,310,,2.7,5695,50.4
24,Black Creek,21140,12395,58.6,3565,16.9,1670,7.9,1845,8.7,1015,,4.8,7720,36.5
25,Glenfield-Jane Heights,30045,17560,58.4,3780,12.6,2045,6.8,1660,5.5,1060,,3.5,11285,37.6
27,York University Heights,28245,15655,55.4,4940,17.5,2090,7.4,2800,9.9,3155,,11.2,9420,33.4
28,Rustic,9410,4830,51.3,1050,11.2,585,6.2,450,4.8,175,,1.9,4365,46.4
29,Maple Leaf,9840,4980,50.6,1335,13.6,660,6.7,625,6.4,395,,4.0,4450,45.2
30,Brookhaven-Amesbury,17490,9430,53.9,2265,13.0,1035,5.9,1195,6.8,450,,2.6,7585,43.4
31,Yorkdale-Glen Park,16625,8310,50.0,2045,12.3,770,4.6,1250,7.5,1045,,6.3,7195,43.3
32,Englemount-Lawrence,21295,9700,45.6,3190,15.0,1535,7.2,1605,7.5,685,,3.2,10880,51.1
33,Clanton Park,17620,8135,46.2,2640,15.0,1090,6.2,1460,8.3,520,,3.0,8950,50.8
34,Bathurst Manor,15965,8180,51.2,2315,14.5,1070,6.7,1235,7.7,590,,3.7,7145,44.8
35,Westminster-Branson,25705,17445,67.9,6415,25.0,3315,12.9,3060,11.9,1080,,4.2,7165,27.9
36,Newtonbrook West,23825,15640,65.6,5795,24.3,2805,11.8,2965,12.4,1890,,7.9,6270,26.3
37,Willowdale West,17165,9585,55.8,2755,16.1,1030,6.0,1715,10.0,1795,,10.5,5785,33.7
38,Lansing-Westgate,15905,7180,45.1,2605,16.4,1055,6.6,1510,9.5,1140,,7.2,7600,47.8
39,Bedford Park-Nortown,22140,6450,29.1,1840,8.3,860,3.9,955,4.3,385,,1.7,15220,68.7
40,St.Andrew-Windfields,16960,8465,49.9,1970,11.6,1045,6.2,905,5.3,715,,4.2,7715,45.5
41,Bridle Path-Sunnybrook-York Mills,8940,3290,36.8,610,6.8,325,3.6,265,3.0,130,,1.5,5495,61.5
42,Banbury-Don Mills,27150,13670,50.4,3155,11.6,1405,5.2,1700,6.3,760,,2.8,12655,46.6
43,Victoria Village,17360,9260,53.3,2840,16.4,980,5.6,1850,10.7,430,,2.5,7615,43.9
44,Flemingdon Park,22520,13985,62.1,4855,21.6,1695,7.5,3130,13.9,1320,,5.9,7215,32.0
46,Pleasant View,15215,9160,60.2,2235,14.7,995,6.5,1205,7.9,1025,,6.7,5030,33.1
47,Don Valley Village,26765,16935,63.3,5595,20.9,2735,10.2,2870,10.7,1945,,7.3,7895,29.5
48,Hillcrest Village,16350,10765,65.8,1910,11.7,970,5.9,935,5.7,820,,5.0,4695,28.7
49,Bayview Woods-Steeles,12070,7070,58.6,1540,12.8,855,7.1,680,5.6,485,,4.0,4440,36.8
50,Newtonbrook East,15340,9715,63.3,2805,18.3,1080,7.0,1685,11.0,1410,,9.2,4180,27.2
52,Bayview Village,22325,13045,58.4,4395,19.7,1925,8.6,2460,11.0,1990,,8.9,7245,32.5
53,Henry Farm,19840,11270,56.8,5335,26.9,1715,8.6,3625,18.3,3795,,19.1,4785,24.1
54,O'Connor-Parkview,18395,7165,39.0,2270,12.3,960,5.2,1265,6.9,640,,3.5,10585,57.5
55,Thorncliffe Park,20395,12905,63.3,5620,27.6,2595,12.7,3030,14.9,1075,,5.3,6415,31.5
56,Leaside-Bennington,16530,3585,21.7,715,4.3,275,1.7,385,2.3,140,,0.8,12805,77.5
57,Broadview North,10965,4630,42.2,1230,11.2,500,4.6,710,6.5,355,,3.2,5940,54.2
58,Old East York,9145,2920,31.9,490,5.4,180,2.0,295,3.2,115,,1.3,6120,66.9
59,Danforth-East York,17075,5500,32.2,830,4.9,390,2.3,375,2.2,210,,1.2,11255,65.9
60,Woodbine-Lumsden,7915,2535,32.0,470,5.9,185,2.3,280,3.5,45,,0.6,5295,66.9
61,Taylor-Massey,15020,8045,53.6,3125,20.8,1175,7.8,1925,12.8,1205,,8.0,5760,38.3
62,East End-Danforth,21835,5970,27.3,1390,6.4,590,2.7,720,3.3,410,,1.9,15420,70.6
63,The Beaches,21495,4420,20.6,840,3.9,270,1.3,410,1.9,200,,0.9,16860,78.4
64,Woodbine Corridor,12200,2985,24.5,555,4.5,240,2.0,290,2.4,115,,0.9,9075,74.4
65,Greenwood-Coxwell,14140,3925,27.8,675,4.8,210,1.5,390,2.8,195,,1.4,9910,70.1
66,Danforth,9320,2550,27.4,455,4.9,280,3.0,150,1.6,180,,1.9,6525,70.0
67,Playter Estates-Danforth,7675,2085,27.2,330,4.3,85,1.1,210,2.7,90,,1.2,5480,71.4
68,North Riverdale,11290,2715,24.0,295,2.6,130,1.2,95,0.8,95,,0.8,8410,74.5
69,Blake-Jones,7480,2305,30.8,300,4.0,100,1.3,200,2.7,70,,0.9,5070,67.8
70,South Riverdale,27815,8045,28.9,1280,4.6,520,1.9,650,2.3,540,,1.9,19175,68.9
71,Cabbagetown-South St.James Town,11020,3810,34.6,805,7.3,345,3.1,445,4.0,405,,3.7,6770,61.4
72,Regent Park,12750,5880,46.1,1450,11.4,520,4.1,880,6.9,600,,4.7,6245,49.0
73,Moss Park,21490,8185,38.1,2430,11.3,770,3.6,1655,7.7,1620,,7.5,11680,54.4
74,North St.James Town,18545,9780,52.7,3850,20.8,1285,6.9,2580,13.9,1850,,10.0,6910,37.3
78,Kensington-Chinatown,18110,7670,42.4,1765,9.7,715,3.9,1045,5.8,1775,,9.8,8675,47.9
79,University,6425,2140,33.3,505,7.9,145,2.3,315,4.9,535,,8.3,3765,58.6
80,Palmerston-Little Italy,13120,3750,28.6,640,4.9,205,1.6,400,3.0,405,,3.1,8905,67.9
81,Trinity-Bellwoods,15425,5550,36.0,940,6.1,275,1.8,600,3.9,530,,3.4,9260,60.0
83,Dufferin Grove,11200,4020,35.9,805,7.2,285,2.5,505,4.5,305,,2.7,6865,61.3
84,Little Portugal,15495,4795,30.9,950,6.1,265,1.7,655,4.2,660,,4.3,9980,64.4
85,South Parkdale,20495,8615,42.0,2755,13.4,1135,5.5,1605,7.8,1000,,4.9,10875,53.1
86,Roncesvalles,14625,4185,28.6,695,4.8,230,1.6,425,2.9,170,,1.2,10155,69.4
87,High Park-Swansea,22665,6405,28.3,1275,5.6,355,1.6,815,3.6,305,,1.3,15805,69.7
88,High Park North,21840,7220,33.1,1860,8.5,670,3.1,1130,5.2,765,,3.5,13840,63.4
89,Runnymede-Bloor West Village,10115,2150,21.3,240,2.4,65,0.6,125,1.2,100,,1.0,7835,77.5
90,Junction Area,14025,4245,30.3,565,4.0,180,1.3,300,2.1,290,,2.1,9425,67.2
91,Weston-Pelham Park,10665,4595,43.1,705,6.6,300,2.8,340,3.2,300,,2.8,5775,54.1
92,Corso Italia-Davenport,13200,4995,37.8,720,5.5,195,1.5,475,3.6,560,,4.2,7640,57.9
94,Wychwood,12775,4340,34.0,655,5.1,235,1.8,390,3.1,235,,1.8,8200,64.2
95,Annex,29285,9080,31.0,2400,8.2,745,2.5,1610,5.5,1425,,4.9,18740,64.0
96,Casa Loma,11340,3180,28.0,525,4.6,160,1.4,305,2.7,310,,2.7,7845,69.2
97,Yonge-St.Clair,12895,3745,29.0,1160,9.0,395,3.1,720,5.6,400,,3.1,8735,67.7
98,Rosedale-Moore Park,20085,5650,28.1,1390,6.9,405,2.0,905,4.5,635,,3.2,13700,68.2
99,Mount Pleasant East,16375,4610,28.2,1240,7.6,405,2.5,825,5.0,375,,2.3,11300,69.0
100,Yonge-Eglinton,12425,3705,29.8,1290,10.4,465,3.7,805,6.5,670,,5.4,8020,64.5
101,Forest Hill South,10845,3020,27.8,910,8.4,350,3.2,525,4.8,305,,2.8,7490,69.1
102,Forest Hill North,12280,4800,39.1,1575,12.8,670,5.5,870,7.1,635,,5.2,6800,55.4
103,Lawrence Park South,14960,3565,23.8,1100,7.4,470,3.1,570,3.8,230,,1.5,11060,73.9
105,Lawrence Park North,14675,3640,24.8,805,5.5,310,2.1,455,3.1,235,,1.6,10760,73.3
106,Humewood-Cedarvale,13855,4430,32.0,1145,8.3,405,2.9,685,4.9,495,,3.6,8915,64.3
107,Oakwood Village,20715,9030,43.6,2060,9.9,860,4.2,1135,5.5,860,,4.2,10830,52.3
108,Briar Hill-Belgravia,14580,8145,55.9,2120,14.5,1040,7.1,1080,7.4,750,,5.1,5700,39.1
109,Caledonia-Fairbank,10025,4985,49.7,900,9.0,375,3.7,490,4.9,560,,5.6,4460,44.5
110,Keelesdale-Eglinton West,11400,5990,52.5,1190,10.4,525,4.6,665,5.8,565,,5.0,4825,42.3
111,Rockcliffe-Smythe,22250,10615,47.7,2000,9.0,905,4.1,1035,4.7,920,,4.1,10630,47.8
112,Beechborough-Greenbrook,6265,3255,52.0,805,12.8,345,5.5,470,7.5,355,,5.7,2650,42.3
